tourney_id,tourney_name,surface,tourney_level,tourney_date
2011-D034,Davis Cup G1 R2: ITA vs SLO,Clay,D,2011-07-08
2011-D056,Davis Cup G1 R2: JPN vs UZB,Hard,D,2011-07-08
2011-D035,Davis Cup G1 R2: RSA vs NED,Hard,D,2011-07-08
2011-D036,Davis Cup G1 R2: SUI vs POR,Hard,D,2011-07-08
2011-D054,Davis Cup G1 R2: URU vs BRA,Clay,D,2011-07-08
2011-D074,Davis Cup G2 PO: BUL vs CYP,Carpet,D,2011-07-08
2011-D063,Davis Cup G2 PO: ESA vs AHO,Clay,D,2011-07-08
2011-D076,Davis Cup G2 PO: GRE vs MON,Clay,D,2011-07-08
2011-D067,Davis Cup G2 PO: HKG vs SYR,Hard,D,2011-07-08
2011-D073,Davis Cup G2 PO: IRL vs TUN,Hard,D,2011-07-08
2011-D075,Davis Cup G2 PO: LTU vs MAR,Clay,D,2011-07-08
2011-D068,Davis Cup G2 PO: POC vs IRI,Hard,D,2011-07-08
2011-D064,Davis Cup G2 PO: PUR vs HAI,Hard,D,2011-07-08
2011-D071,Davis Cup G2 R2: BIH vs EST,Hard,D,2011-07-08
2011-D072,Davis Cup G2 R2: DEN vs LAT,Clay,D,2011-07-08
2011-D069,Davis Cup G2 R2: GBR vs LUX,Hard,D,2011-07-08
2011-D070,Davis Cup G2 R2: HUN vs BLR,Clay,D,2011-07-08
2011-D065,Davis Cup G2 R2: KOR vs PAK,Hard,D,2011-07-08
2011-D062,Davis Cup G2 R2: PAR vs VEN,Clay,D,2011-07-08
2011-D061,Davis Cup G2 R2: PER vs DOM,Clay,D,2011-07-08
2011-D066,Davis Cup G2 R2: THA vs INA,Hard,D,2011-07-08
2011-D041,Davis Cup WG QF: GER vs FRA,Clay,D,2011-07-08
2011-D038,Davis Cup WG QF: SWE vs SRB,Hard,D,2011-07-08
2011-D040,Davis Cup WG QF: USA vs ESP,Hard,D,2011-07-08
2011-316,Bastad,Clay,A,2011-07-11
2011-321,Stuttgart,Clay,A,2011-07-11
2011-6116,Atlanta,Hard,A,2011-07-18
2011-414,Hamburg,Clay,A,2011-07-18
2011-314,Gstaad,Clay,A,2011-07-25
2011-423,Los Angeles,Hard,A,2011-07-25
2011-439,Umag,Clay,A,2011-07-25
2011-319,Kitzbuhel,Clay,A,2011-07-31
2011-418,Washington,Hard,A,2011-07-31
2011-421,Canada Masters,Hard,M,2011-08-08
2011-422,Cincinnati Masters,Hard,M,2011-08-14
2011-6242,Winston-Salem,Hard,A,2011-08-21
2011-560,US Open,Hard,G,2011-08-29
2011-D037,Davis Cup G1 PO: ECU vs MEX,Clay,D,2011-09-16
2011-D059,Davis Cup G1 PO: FIN vs POL,Hard,D,2011-09-16
2011-D058,Davis Cup G1 PO: PHI vs TPE,Clay,D,2011-09-16
2011-D060,Davis Cup G1 PO: SVK vs UKR,Clay,D,2011-09-16
2011-D079,Davis Cup G2 R3: DEN vs BIH,Hard,D,2011-09-16
2011-D078,Davis Cup G2 R3: GBR vs HUN,Hard,D,2011-09-16
2011-D080,Davis Cup G2 R3: KOR vs THA,Hard,D,2011-09-16
2011-D081,Davis Cup G2 R3: PAR vs PER,Clay,D,2011-09-16
2011-D052,Davis Cup WG PO: AUS vs SUI,Grass,D,2011-09-16
2011-D051,Davis Cup WG PO: BEL vs AUT,Hard,D,2011-09-16
2011-D049,Davis Cup WG PO: CHI vs ITA,Hard,D,2011-09-16
2011-D047,Davis Cup WG PO: ISR vs CAN,Hard,D,2011-09-16
2011-D050,Davis Cup WG PO: JPN vs IND,Hard,D,2011-09-16
2011-D045,Davis Cup WG PO: ROU vs CZE,Clay,D,2011-09-16
2011-D048,Davis Cup WG PO: RSA vs CRO,Hard,D,2011-09-16
2011-D046,Davis Cup WG PO: RUS vs BRA,Hard,D,2011-09-16
2011-D043,Davis Cup WG SF: ESP vs FRA,Clay,D,2011-09-16
2011-D042,Davis Cup WG SF: SRB vs ARG,Hard,D,2011-09-16
2011-773,Bucharest,Clay,A,2011-09-19
2011-341,Metz,Hard,A,2011-09-19
2011-1720,Bangkok,Hard,A,2011-09-26
2011-6003,Kuala Lumpur,Hard,A,2011-09-26
2011-747,Beijing,Hard,A,2011-10-03
2011-329,Tokyo,Hard,A,2011-10-03
2011-5014,Shanghai Masters,Hard,M,2011-10-09
2011-438,Moscow,Hard,A,2011-10-17
2011-429,Stockholm,Hard,A,2011-10-17
2011-568,St. Petersburg,Hard,A,2011-10-24
2011-337,Vienna,Hard,A,2011-10-24
2011-D077,Davis Cup G1 PO: MEX vs COL,Clay,D,2011-10-28
2011-328,Basel,Hard,A,2011-10-31
2011-573,Valencia,Hard,A,2011-10-31
2011-352,Paris Masters,Hard,M,2011-11-07
2011-605,Tour Finals,Hard,F,2011-11-20
2011-D044,Davis Cup WG F: ESP vs ARG,Clay,D,2011-12-02
2012-339,Brisbane,Hard,A,2012-01-01
2012-891,Chennai,Hard,A,2012-01-02
2012-451,Doha,Hard,A,2012-01-02
2012-301,Auckland,Hard,A,2012-01-09
2012-338,Sydney,Hard,A,2012-01-09
2012-580,Australian Open,Hard,G,2012-01-16
2012-375,Montpellier,Hard,A,2012-01-30
2012-505,Santiago,Clay,A,2012-01-30
2012-2276,Zagreb,Hard,A,2012-01-30
2012-D024,Davis Cup G1 R1: AUS vs CHN,Grass,D,2012-02-10
2012-D014,Davis Cup G1 R1: ECU vs COL,Clay,D,2012-02-10
2012-D015,Davis Cup G1 R1: GBR vs SVK,Hard,D,2012-02-10
2012-D023,Davis Cup G1 R1: KOR vs TPE,Hard,D,2012-02-10
2012-D016,Davis Cup G1 R1: NED vs FIN,Hard,D,2012-02-10
2012-D022,Davis Cup G1 R1: NZL vs UZB,Hard,D,2012-02-10
2012-D017,Davis Cup G1 R1: SLO vs DEN,Hard,D,2012-02-10
2012-D013,Davis Cup G1 R1: URU vs PER,Clay,D,2012-02-10
2012-D070,Davis Cup G2 R1: BAR vs PAR,Hard,D,2012-02-10
2012-D033,Davis Cup G2 R1: BLR vs MDA,Hard,D,2012-02-10
2012-D030,Davis Cup G2 R1: CYP vs MAR,Hard,D,2012-02-10
