tourney_id,match_num,winner_id,loser_id,score,minutes,winner_seed,loser_seed
2000-352,39,102374,101965,6-3 6-4,43,8,10
2000-352,40,103498,103206,6-2 7-6(4),167,2,16
2000-352,44,103498,102374,7-6(5) 6-3,88,2,8
2000-352,45,102882,102856,7-6(5) 7-6(11),47,13,1
2000-352,46,103498,103507,6-2 6-2,133,2,12
2000-352,47,103498,102882,3-6 7-6(7) 6-4 3-6 7-6(8),109,2,13
2000-357,34,103720,102450,3-6 6-3 6-4,124,8,9
2000-357,36,102338,102644,6-3 7-5,251,6,11
2000-357,45,103720,102338,6-4 6-7(5) 6-3,157,8,6
2000-359,27,102950,103324,6-2 6-1,29,4,5
2000-359,30,101962,102950,1-6 7-6(4) 7-6(3),86,2,4
2000-360,25,103264,101962,7-6(6) 6-4,133,7,1
2000-360,27,102950,102271,6-7(6) 6-3 6-2,108,6,3
2000-360,29,103206,103264,6-4 3-6 6-1,131,4,7
2000-360,30,102950,103324,6-4 1-6 6-4,98,6,8
2000-360,31,102950,103206,6-4 4-6 7-6(3),101,6,4
2000-375,25,102158,102856,6-3 6-4,68,8,1
2000-402,33,101723,102882,W/O,108,16,1
2000-402,34,102783,102998,6-2 1-6 7-6(2),92,9,8
2000-402,37,102021,102024,6-2 6-0,59,5,12
2000-402,38,101647,102162,6-2 3-6 6-4,85,13,4
2000-402,40,103163,102025,6-2 3-6 7-5,73,2,15
2000-402,41,101723,102783,2-6 7-6(5) 6-3,65,16,9
2000-402,43,101647,102021,7-5 6-2,165,13,5
2000-402,44,103163,101965,6-3 2-6 7-5,99,2,7
2000-402,46,101647,103163,7-6(2) 7-6(5),65,13,2
2000-402,47,101723,101647,6-2 1-6 6-3,60,16,13
2000-403,66,102158,103206,2-6 6-4 6-3,82,15,18
2000-403,67,102450,103151,6-3 6-3,144,10,23
2000-403,68,102701,102765,6-2 3-6 6-1,99,8,26
2000-403,74,102882,101611,6-4 7-6(3),64,22,11
2000-403,75,103720,103163,6-1 6-3,157,14,19
2000-403,76,102338,101897,6-4 6-3,106,3,30
2000-403,78,102839,102456,5-7 6-1 6-1,99,9,24
2000-403,81,101736,102158,6-4 6-4,198,1,15
2000-403,82,102450,102701,6-1 1-6 7-6(4),110,10,8
2000-403,86,103720,102338,6-4 6-3,118,14,3
2000-403,87,102839,102358,W/O,100,9,7
2000-403,88,101948,102257,6-3 6-3,121,2,17
2000-403,89,101736,102450,7-5 1-6 7-6(10),84,1,10
2000-403,92,101948,102839,6-4 7-6(3),69,2,9
2000-403,93,102856,101736,6-1 6-4,112,6,1
2000-403,94,101948,103720,6-3 3-6 6-1,83,2,14
2000-403,95,101948,102856,6-1 6-7(2) 7-6(5) 7-6(8),61,2,6
2000-404,60,102358,101948,6-3 3-6 6-3,122,10,2
2000-404,62,102358,102882,6-3 6-7(6) 7-6(8),62,10,12
2000-407,25,102338,102257,6-7(3) 6-4 6-4,108,1,7
2000-407,28,101611,103017,2-6 6-3 7-5,66,8,2
2000-407,29,102450,102338,6-3 4-6 6-3,58,5,1
2000-407,31,101611,102450,6-7(3) 6-4 7-6(4),67,8,5
2000-408,27,102358,101611,7-6(3) 4-6 7-6(6),98,4,6
2000-408,29,102338,102257,6-3 7-6(4),76,1,5
2000-409,27,102021,102162,7-6(4) 6-1,86,4,5
2000-409,28,102776,102905,7-6(3) 6-4,99,8,2
2000-409,30,102776,102021,6-3 1-6 6-2,93,8,4
2000-414,51,102796,101962,3-6 6-1 6-4,66,3,13
2000-414,58,102856,102796,6-4 6-2,104,5,3
2000-414,59,103498,101611,7-6(4) 4-6 6-3,69,12,4
2000-414,63,102856,103498,6-4 5-7 6-4 5-7 7-6(3),102,5,12
2000-416,49,103103,101736,6-4 6-4,87,15,1
2000-416,51,102856,101962,W/O,99,4,14
2000-416,55,103720,102358,7-6(6) 2-6 6-3,56,9,7
2000-416,57,102374,103103,6-1 7-6(5),70,10,15
2000-416,61,102856,102374,6-4 6-2,123,4,10
2000-416,62,102796,103720,6-3 6-0,101,3,9
2000-416,63,102796,102856,6-3 4-6 6-4 6-4,147,3,4
2000-418,41,101736,102834,6-3 6-2,55,1,16
2000-418,50,102184,101647,6-3 1-6 6-3,122,14,6
2000-418,51,103017,102998,4-6 6-4 6-2,99,3,5
2000-418,53,101736,102184,6-1 6-3,128,1,14
2000-418,54,102374,103017,7-6(2) 6-2,118,2,3
2000-418,55,102374,101736,6-2 6-3,111,2,1
2000-419,44,103720,102610,6-2 6-4,95,5,11
2000-419,45,103206,102839,7-6(3) 6-2,119,12,6
2000-419,46,103498,102223,6-4 6-4,72,3,13
2000-419,47,102450,101962,4-6 6-2 7-6(2),77,7,9
2000-419,49,102856,101965,6-2 6-3,92,1,10
2000-419,50,103720,102358,6-3 6-3,77,5,4
2000-419,51,103498,103206,0-6 6-3 6-4,76,3,12
2000-419,52,102450,102338,7-6(4) 6-2,100,7,2
2000-419,53,102856,103720,7-5 6-2,102,1,5
2000-419,54,103498,102450,7-5 6-4,151,3,7
2000-419,55,102856,103498,3-6 7-6(2) 7-6(2),105,1,3
2000-421,53,102338,103507,6-1 4-6 6-4,118,5,12
2000-421,55,103498,102765,3-2 RET,79,8,17
2000-421,60,103498,101948,6-4 3-6 7-6(10),95,8,2
2000-422,56,102450,101948,6-3 6-4,130,15,2
2000-422,62,102450,102856,6-7(11) 6-3 7-6(0),75,15,4
